account,transaction_date,description_1,description_2,amount,amount_us,notes,category,sub_category
Credit Card 1,2023-03-28,Cruickshank and Sons,Computer Communications Equipment,-723.64,,,,
Credit Card 1,2023-04-29,Reynolds-D'Amore,,-174.0,,,,
Bank 1,2022-06-09,Labadie-Rosenbaum,,324.73,,,,
Credit Card 1,2022-12-23,Pagac-Bernier,Biotechnology: Commercial Physical & Biological Resarch,587.51,,,,
Credit Card 1,2022-11-02,"Fay, Smitham and Gerlach",n/a,964.87,,,,
Bank 2,2022-04-19,"Windler, Lindgren and Schaefer",n/a,-774.32,,,,
Credit Card 1,2022-02-18,Hand LLC,Savings Institutions,-308.93,,,,
Bank 2,2022-04-14,Sanford-Beier,,995.1,,,,
Bank 1,2023-03-20,Mante-Terry,,803.83,,,,
Credit Card 2,2023-02-02,Konopelski-Dare,Business Services,803.41,,,,
Credit Card 1,2022-02-23,Schuster and Sons,,918.06,,,,
Bank 1,2022-07-07,"Kulas, Swaniawski and Hermann",Commercial Banks,910.17,,,,
Credit Card 2,2023-05-17,Graham-Murphy,Oil & Gas Production,-419.7,,,,
Credit Card 2,2023-05-23,Oberbrunner and Sons,,912.14,,,,
Bank 2,2023-05-16,O'Conner Inc,Life Insurance,53.24,,,,
Bank 2,2022-11-16,"Durgan, Kuvalis and Quigley",Oil & Gas Production,-123.82,,,,
Credit Card 1,2022-06-22,"Padberg, Zboncak and Schmitt",,-693.79,,,,
Credit Card 2,2022-04-21,"Thiel, Grady and Quigley",,723.6,,,,
Bank 2,2023-03-14,Schowalter LLC,Major Banks,-194.29,,,,
Bank 1,2023-04-17,"Predovic, Effertz and Schoen",Finance: Consumer Services,-157.75,,,,
Bank 1,2023-02-10,"Sauer, Mosciski and Luettgen",Broadcasting,-688.22,,,,
Credit Card 2,2022-03-14,Schultz-Ruecker,,777.26,,,,
Credit Card 1,2022-03-28,McKenzie Inc,Real Estate Investment Trusts,279.62,,,,
Bank 1,2022-10-05,Kunde LLC,EDP Services,-731.25,,,,
Bank 1,2023-05-21,"Walker, O'Conner and Kunze",n/a,128.23,,,,
Credit Card 2,2022-07-04,Heidenreich LLC,Telecommunications Equipment,-271.65,,,,
Credit Card 1,2022-05-12,Abbott and Sons,,-378.79,,,,
Credit Card 1,2022-01-21,Schmidt-Walker,Major Banks,-988.21,,,,
Bank 1,2022-09-02,"Harris, Franecki and Howe",,232.43,,,,
Bank 1,2022-09-14,Fadel and Sons,,-961.04,,,,
Credit Card 1,2022-05-10,"Ledner, Considine and Predovic",,290.42,,,,
Credit Card 2,2022-01-11,"Schroeder, Smitham and Hessel",,230.55,,,,
Bank 2,2022-05-16,"Rau, Lindgren and Johnson",Restaurants,-448.17,,,,
Credit Card 2,2022-04-04,"Greenholt, Streich and Rowe",,276.83,,,,
Credit Card 1,2022-02-14,"Douglas, Powlowski and Koepp",,-93.61,,,,
Credit Card 2,2023-04-02,"Bruen, Reilly and Stanton",,-831.02,,,,
Credit Card 2,2022-10-01,Goyette Group,,-411.19,,,,
